"n","Probability of outliers","Outlier shift d","OLS bootstrap Bias","OLS bootstrap Std. dev.","OLS Sobel Bias","OLS Sobel Std. dev.","Box-Cox bootstrap Bias","Box-Cox bootstrap Std. dev.","Winsorized bootstap Bias","Winsorized bootstap Std. dev.","Median bootstrap Bias","Median bootstrap Std. dev.","ROBMED Bias","ROBMED Std. dev."
100,0,0,"0.002","0.052","0.002","0.052","0.006","0.066","0.002","0.052","0.002","0.059","0.002","0.056"
100,0.01,1,"-0.006","0.051","-0.006","0.051","-0.002","0.064","-0.006","0.052","-0.004","0.058","-0.005","0.056"
100,0.01,2,"-0.024","0.053","-0.024","0.053","-0.021","0.063","-0.012","0.053","-0.009","0.058","0.001","0.058"
100,0.01,3,"-0.048","0.063","-0.051","0.065","-0.044","0.066","-0.012","0.053","-0.014","0.059","0.003","0.057"
100,0.01,4,"-0.073","0.079","-0.080","0.083","-0.050","0.071","-0.013","0.053","-0.019","0.060","0.002","0.056"
100,0.01,5,"-0.097","0.097","-0.110","0.104","-0.044","0.072","-0.013","0.053","-0.025","0.062","0.002","0.056"
100,0.01,6,"-0.118","0.114","-0.137","0.125","-0.039","0.072","-0.013","0.053","-0.031","0.064","0.002","0.056"
100,0.02,1,"-0.013","0.050","-0.013","0.050","-0.010","0.062","-0.014","0.051","-0.009","0.058","-0.012","0.055"
100,0.02,2,"-0.047","0.053","-0.048","0.054","-0.044","0.059","-0.027","0.054","-0.019","0.058","0.000","0.058"
100,0.02,3,"-0.089","0.066","-0.093","0.068","-0.076","0.059","-0.028","0.055","-0.030","0.059","0.004","0.057"
100,0.02,4,"-0.131","0.083","-0.141","0.086","-0.082","0.065","-0.029","0.055","-0.041","0.062","0.002","0.056"
100,0.02,5,"-0.169","0.101","-0.186","0.104","-0.075","0.069","-0.029","0.055","-0.053","0.067","0.002","0.056"
100,0.02,6,"-0.202","0.118","-0.226","0.121","-0.070","0.072","-0.029","0.055","-0.066","0.074","0.002","0.056"
100,0.03,1,"-0.020","0.049","-0.020","0.049","-0.019","0.060","-0.022","0.050","-0.015","0.057","-0.019","0.054"
100,0.03,2,"-0.068","0.053","-0.070","0.054","-0.065","0.056","-0.045","0.057","-0.030","0.058","-0.002","0.060"
100,0.03,3,"-0.125","0.068","-0.130","0.068","-0.102","0.054","-0.048","0.059","-0.047","0.061","0.005","0.058"
100,0.03,4,"-0.179","0.085","-0.190","0.086","-0.108","0.062","-0.049","0.061","-0.065","0.067","0.002","0.056"
100,0.03,5,"-0.226","0.102","-0.242","0.101","-0.104","0.070","-0.050","0.061","-0.085","0.077","0.002","0.056"
100,0.03,6,"-0.264","0.118","-0.286","0.116","-0.102","0.076","-0.051","0.062","-0.107","0.089","0.002","0.056"
100,0.04,1,"-0.027","0.048","-0.027","0.048","-0.025","0.058","-0.029","0.049","-0.020","0.056","-0.025","0.053"
100,0.04,2,"-0.087","0.053","-0.088","0.053","-0.083","0.054","-0.064","0.059","-0.041","0.058","-0.005","0.063"
100,0.04,3,"-0.155","0.068","-0.160","0.068","-0.122","0.051","-0.070","0.066","-0.065","0.063","0.007","0.058"
100,0.04,4,"-0.217","0.085","-0.227","0.084","-0.130","0.062","-0.073","0.070","-0.091","0.074","0.002","0.056"
100,0.04,5,"-0.268","0.103","-0.283","0.100","-0.131","0.074","-0.075","0.073","-0.120","0.090","0.002","0.056"
100,0.04,6,"-0.310","0.120","-0.328","0.116","-0.133","0.082","-0.076","0.075","-0.150","0.105","0.002","0.056"
250,0,0,"0.002","0.032","0.002","0.032","0.001","0.045","0.002","0.032","0.002","0.037","0.001","0.035"
250,0.01,1,"-0.006","0.032","-0.006","0.032","-0.006","0.043","-0.006","0.032","-0.003","0.037","-0.005","0.035"
250,0.01,2,"-0.024","0.034","-0.024","0.034","-0.024","0.043","-0.011","0.033","-0.008","0.037","0.002","0.036"
250,0.01,3,"-0.050","0.041","-0.052","0.042","-0.049","0.045","-0.012","0.033","-0.012","0.037","0.002","0.035"
250,0.01,4,"-0.081","0.053","-0.085","0.054","-0.055","0.050","-0.012","0.033","-0.017","0.038","0.001","0.035"
250,0.01,5,"-0.113","0.066","-0.120","0.068","-0.043","0.052","-0.012","0.033","-0.022","0.039","0.001","0.035"
250,0.01,6,"-0.144","0.079","-0.154","0.081","-0.035","0.052","-0.012","0.033","-0.027","0.040","0.001","0.035"
250,0.02,1,"-0.013","0.031","-0.013","0.031","-0.013","0.042","-0.014","0.032","-0.008","0.037","-0.012","0.034"
250,0.02,2,"-0.048","0.034","-0.049","0.034","-0.048","0.040","-0.027","0.034","-0.018","0.037","0.002","0.037"
250,0.02,3,"-0.095","0.043","-0.097","0.043","-0.081","0.039","-0.028","0.034","-0.027","0.037","0.004","0.036"
250,0.02,4,"-0.145","0.054","-0.150","0.054","-0.080","0.043","-0.028","0.034","-0.037","0.038","0.001","0.035"
250,0.02,5,"-0.193","0.064","-0.201","0.064","-0.069","0.047","-0.028","0.034","-0.048","0.040","0.001","0.035"
250,0.02,6,"-0.236","0.074","-0.247","0.073","-0.063","0.049","-0.028","0.034","-0.058","0.044","0.001","0.035"
250,0.03,1,"-0.020","0.031","-0.020","0.031","-0.019","0.040","-0.021","0.031","-0.013","0.037","-0.018","0.034"
250,0.03,2,"-0.068","0.033","-0.069","0.033","-0.067","0.037","-0.043","0.035","-0.027","0.037","0.001","0.038"
250,0.03,3,"-0.130","0.041","-0.132","0.042","-0.104","0.034","-0.044","0.036","-0.042","0.038","0.005","0.036"
250,0.03,4,"-0.191","0.051","-0.196","0.051","-0.103","0.041","-0.045","0.036","-0.057","0.040","0.001","0.035"
250,0.03,5,"-0.246","0.060","-0.253","0.059","-0.096","0.046","-0.046","0.036","-0.073","0.044","0.001","0.035"
250,0.03,6,"-0.293","0.068","-0.302","0.066","-0.094","0.050","-0.046","0.036","-0.091","0.051","0.001","0.035"
250,0.04,1,"-0.026","0.030","-0.026","0.030","-0.026","0.039","-0.028","0.030","-0.018","0.036","-0.024","0.033"
250,0.04,2,"-0.087","0.032","-0.088","0.032","-0.085","0.035","-0.061","0.037","-0.037","0.036","-0.001","0.039"
250,0.04,3,"-0.160","0.041","-0.162","0.041","-0.124","0.032","-0.064","0.039","-0.057","0.038","0.006","0.037"
250,0.04,4,"-0.228","0.050","-0.232","0.049","-0.127","0.041","-0.066","0.040","-0.079","0.043","0.002","0.035"
250,0.04,5,"-0.286","0.059","-0.292","0.058","-0.126","0.049","-0.067","0.041","-0.103","0.052","0.001","0.035"
250,0.04,6,"-0.333","0.069","-0.339","0.067","-0.127","0.054","-0.067","0.041","-0.130","0.063","0.001","0.035"
